Ville/Port Latitude_N Longitude_E date_arrivee heure_arrivee
Bowen -20.0208 148.2505 14-Dec-2011 03:53:47
Madang -5.2133 145.8004 14-Dec-2011 01:35:32
Vanimo -2.6836 141.2923 14-Dec-2011 00:54:48
Hakodate 41.7878 140.7090 13-Dec-2011 22:41:11
Manzanillo 19.0706 -104.3009 13-Dec-2011 22:36:52
Astoria 46.1894 -123.8262 13-Dec-2011 20:19:06
Acapulco 16.8444 -99.9025 13-Dec-2011 23:25:17
Los_Angeles 33.7319 -118.2597 13-Dec-2011 20:08:54
Ancud -41.8686 -73.8257 14-Dec-2011 06:38:11
Pisco -13.7331 -76.2220 14-Dec-2011 04:32:07
Tahsis 49.9175 -126.6541 13-Dec-2011 20:34:28
