Station,t_obs (s),T_mod (s),Résidu (s)
Bowen,1323834827.0,27708.024171205587,1323807118.975829
Madang,1323826532.0,36176.71367313209,1323790355.286327
Vanimo,1323824088.0,36210.41814598885,1323787877.581854
Hakodate,1323816071.0,30466.061416748904,1323785604.9385831
Manzanillo,1323815812.0,23280.34810059283,1323792531.6518993
Astoria,1323807546.0,17400.120538757437,1323790145.8794613
Acapulco,1323818717.0,28575.849994045897,1323790141.150006
Los Angeles,1323806934.0,16625.570355205065,1323790308.4296448
Ancud,1323844691.0,54146.94402074625,1323790544.0559793
Pisco,1323837127.0,46548.485905952126,1323790578.514094
Tahsis,1323808468.0,17104.989541500443,1323791363.0104585
