Station,t_obs (s),T_mod (s),Résidu (s)
Bowen,1323834827.0,26773.937969658713,1323808053.0620303
Madang,1323826532.0,43674.74911454574,1323782857.2508855
Vanimo,1323824088.0,43387.20107404381,1323780700.7989259
Hakodate,1323816071.0,29517.050972442605,1323786553.9490275
Manzanillo,1323815812.0,20808.50131119829,1323795003.4986887
Astoria,1323807546.0,14785.12872381963,1323792760.8712761
Acapulco,1323818717.0,25068.60296502619,1323793648.397035
Los Angeles,1323806934.0,13730.709788496337,1323793203.2902114
Ancud,1323844691.0,51917.71746756302,1323792773.2825325
Pisco,1323837127.0,43697.5696238477,1323793429.430376
Tahsis,1323808468.0,15021.338975014196,1323793446.661025
